customer_id,first_name,last_name,email,segment
1,Katherine,Lopez,KatherineLopez@gmail.com,Consumer
2,Gerald,Jennings,GeraldJennings@gmail.com,Consumer
3,Larry,Padilla,LarryPadilla@gmail.com,Home Office
4,Deanna,Thomas,DeannaThomas@gmail.com,Home Office
5,Christopher,Bridges,ChristopherBridges@gmail.com,Corporate
6,Tyler,Hanson,TylerHanson@gmail.com,Corporate
7,Timothy,Thompson,TimothyThompson@gmail.com,Home Office
8,Thomas,Byrd,ThomasByrd@gmail.com,Corporate
9,Corey,Hamilton,CoreyHamilton@gmail.com,Consumer
10,Dominique,Jones,DominiqueJones@gmail.com,Home Office
11,Barbara,Kelly,BarbaraKelly@gmail.com,Consumer
12,Derrick,Medina,DerrickMedina@gmail.com,Consumer
13,Linda,Turner,LindaTurner@gmail.com,Consumer
14,Brittney,Martin,BrittneyMartin@gmail.com,Consumer
15,Scott,Beasley,ScottBeasley@gmail.com,Home Office
16,Anthony,Nguyen,AnthonyNguyen@gmail.com,Consumer
17,Jason,Peterson,JasonPeterson@gmail.com,Home Office
18,Tiffany,Thomas,TiffanyThomas@gmail.com,Consumer
19,Sarah,Craig,SarahCraig@gmail.com,Home Office
20,Kathryn,Goodman,KathrynGoodman@gmail.com,Home Office
21,Amber,Carpenter,AmberCarpenter@gmail.com,Consumer
22,Amanda,Jones,AmandaJones@gmail.com,Corporate
23,John,Hardy,JohnHardy@gmail.com,Consumer
24,Michael,Pena,MichaelPena@gmail.com,Corporate
25,Erin,King,ErinKing@gmail.com,Corporate
26,John,Wright,JohnWright@gmail.com,Home Office
27,Cynthia,Schmidt,CynthiaSchmidt@gmail.com,Consumer
28,Amanda,Mercer,AmandaMercer@gmail.com,Corporate
29,David,Sharp,DavidSharp@gmail.com,Corporate
30,Benjamin,Gibson,BenjaminGibson@gmail.com,Corporate
31,Emily,Phillips,EmilyPhillips@gmail.com,Corporate
32,Alison,Powell,AlisonPowell@gmail.com,Consumer
33,Edwin,Edwards,EdwinEdwards@gmail.com,Home Office
34,Ian,Harris,IanHarris@gmail.com,Consumer
35,Johnny,Smith,JohnnySmith@gmail.com,Home Office
36,Jared,Moran,JaredMoran@gmail.com,Consumer
37,Jean,Mcmahon,JeanMcmahon@gmail.com,Corporate
38,Crystal,Sanchez,CrystalSanchez@gmail.com,Corporate
39,Terri,Beasley,TerriBeasley@gmail.com,Consumer
40,William,Howe,WilliamHowe@gmail.com,Corporate
41,Gina,Stephenson,GinaStephenson@gmail.com,Corporate
42,Shelly,Kim,ShellyKim@gmail.com,Consumer
43,Cheryl,Nolan,CherylNolan@gmail.com,Corporate
44,Maria,Watts,MariaWatts@gmail.com,Consumer
45,Katherine,Mclaughlin,KatherineMclaughlin@gmail.com,Consumer
46,Jeffrey,Smith,JeffreySmith@gmail.com,Home Office
47,Melissa,Simmons,MelissaSimmons@gmail.com,Corporate
48,Jessica,Glover,JessicaGlover@gmail.com,Home Office
49,Rachel,Brooks,RachelBrooks@gmail.com,Consumer
50,Megan,Mathews,MeganMathews@gmail.com,Home Office
51,Michael,Simmons,MichaelSimmons@gmail.com,Corporate
52,Shirley,Moore,ShirleyMoore@gmail.com,Corporate
53,Thomas,Baker,ThomasBaker@gmail.com,Consumer
54,Mariah,Martin,MariahMartin@gmail.com,Corporate
55,Whitney,Ruiz,WhitneyRuiz@gmail.com,Corporate
56,Denise,Mitchell,DeniseMitchell@gmail.com,Corporate
57,Karen,Anderson,KarenAnderson@gmail.com,Consumer
58,Christina,Baker,ChristinaBaker@gmail.com,Home Office
59,George,Davis,GeorgeDavis@gmail.com,Home Office
60,David,Watkins,DavidWatkins@gmail.com,Consumer
61,Stephanie,Gilbert,StephanieGilbert@gmail.com,Home Office
62,James,Hernandez,JamesHernandez@gmail.com,Consumer
63,William,Schneider,WilliamSchneider@gmail.com,Consumer
64,Matthew,Huang,MatthewHuang@gmail.com,Consumer
65,Sarah,Nunez,SarahNunez@gmail.com,Consumer
66,Teresa,Berry,TeresaBerry@gmail.com,Corporate
67,Bruce,Sanchez,BruceSanchez@gmail.com,Consumer
68,Theresa,Bartlett,TheresaBartlett@gmail.com,Home Office
69,Rebecca,Malone,RebeccaMalone@gmail.com,Corporate
70,Zachary,Brown,ZacharyBrown@gmail.com,Home Office
71,Ryan,Williams,RyanWilliams@gmail.com,Home Office
72,Cory,Maddox,CoryMaddox@gmail.com,Consumer
73,Leah,Rodriguez,LeahRodriguez@gmail.com,Home Office
74,Christopher,Miller,ChristopherMiller@gmail.com,Consumer
75,Tiffany,Kelly,TiffanyKelly@gmail.com,Consumer
76,Erin,Avila,ErinAvila@gmail.com,Consumer
77,Joshua,Phelps,JoshuaPhelps@gmail.com,Corporate
78,Stephanie,Clark,StephanieClark@gmail.com,Corporate
79,Lauren,Bell,LaurenBell@gmail.com,Home Office
80,Julie,Peterson,JuliePeterson@gmail.com,Corporate
81,Lindsey,Rivas,LindseyRivas@gmail.com,Corporate
82,Mike,Sullivan,MikeSullivan@gmail.com,Consumer
83,Joseph,Bell,JosephBell@gmail.com,Home Office
84,Michael,Butler,MichaelButler@gmail.com,Home Office
85,Carrie,Smith,CarrieSmith@gmail.com,Home Office
86,Linda,Mercado,LindaMercado@gmail.com,Consumer
87,Shannon,Stevens,ShannonStevens@gmail.com,Corporate
88,Anthony,Maxwell,AnthonyMaxwell@gmail.com,Home Office
89,Brandon,Smith,BrandonSmith@gmail.com,Home Office
90,Denise,Hayes,DeniseHayes@gmail.com,Corporate
91,Leslie,Jackson,LeslieJackson@gmail.com,Consumer
92,John,Bullock,JohnBullock@gmail.com,Consumer
93,William,Bishop,WilliamBishop@gmail.com,Consumer
94,Amanda,Evans,AmandaEvans@gmail.com,Corporate
95,Anthony,Miller,AnthonyMiller@gmail.com,Corporate
96,Susan,Johnston,SusanJohnston@gmail.com,Corporate
97,Nicholas,Johnson,NicholasJohnson@gmail.com,Home Office
98,Ashley,Dyer,AshleyDyer@gmail.com,Corporate
99,Shelly,French,ShellyFrench@gmail.com,Corporate
100,Kendra,Williams,KendraWilliams@gmail.com,Corporate
101,Jennifer,Stanley,JenniferStanley@gmail.com,Consumer
102,Vincent,Raymond,VincentRaymond@gmail.com,Home Office
